model,year,transmission,mileage,fuelType,tax,mpg,engineSize,make,price
I40,2015,Manual,50500,Diesel,20.0,67.3,1.7,hyundai,8499
Scala,2019,Manual,6251,Petrol,145.0,49.6,1.0,skoda,14928
Corsa,2018,Manual,7559,Petrol,145.0,49.6,1.4,vauxhall,9125
2 Series,2020,Semi-Auto,1500,Petrol,145.0,47.9,2.0,bmw,29991
Focus,2015,Manual,70000,Diesel,,,1.5,ford,7195
Aygo,2016,Manual,25020,Petrol,0.0,69.0,1.0,toyota,7750
Focus,2019,Manual,4920,Diesel,145.0,80.7,1.5,ford,17000
T-Roc,2019,Semi-Auto,15134,Petrol,145.0,39.8,1.5,vw,23995
Fiesta,2019,Manual,5022,Petrol,145.0,58.9,1.0,ford,13500
Fiesta,2019,Manual,2999,Petrol,145.0,56.5,1.0,ford,16980
Octavia,2019,Automatic,3000,Petrol,145.0,38.2,2.0,skoda,24995
2 Series,2016,Automatic,27519,Petrol,160.0,44.1,2.0,bmw,17299
3 Series,2019,Semi-Auto,8349,Petrol,145.0,43.5,2.0,bmw,28450
Focus,2019,Manual,8288,Petrol,145.0,58.9,1.0,ford,15795
Combo Life,2019,Manual,17957,Diesel,145.0,53.3,1.5,vauxhall,15990
Sharan,2017,Automatic,35100,Diesel,145.0,54.3,2.0,vw,17500
V Class,2019,Automatic,1478,Diesel,145.0,45.6,2.2,mercedes,48251
I10,2016,Manual,29650,Petrol,30.0,57.6,1.2,hyundai,6695
X7,2020,Semi-Auto,5000,Diesel,150.0,31.4,3.0,bmw,78000
Polo,2018,Manual,21998,Petrol,150.0,64.2,1.0,vw,12000
Fabia,2015,Manual,38711,Petrol,20.0,60.1,1.2,skoda,7491
Focus,2019,Manual,7987,Petrol,,,1.0,ford,17140
Insignia,2017,Manual,19352,Petrol,125.0,50.4,1.4,vauxhall,9995
A1,2020,Semi-Auto,4500,Petrol,145.0,44.1,1.0,audi,22250
E Class,2015,Semi-Auto,41650,Diesel,30.0,64.2,2.1,mercedes,14399
CC,2016,Automatic,74360,Diesel,125.0,56.5,2.0,vw,11440
C Class,2018,Semi-Auto,5678,Diesel,145.0,58.9,1.6,mercedes,22399
Mokka,2016,Manual,17854,Petrol,200.0,40.9,1.6,vauxhall,9785
Meriva,2014,Manual,63757,Diesel,30.0,64.2,1.6,vauxhall,5678
Fox,2007,Manual,74000,Petrol,145.0,46.3,1.2,vw,2295
Ioniq,2018,Automatic,17598,Hybrid,135.0,78.5,1.6,hyundai,15998
Fiesta,2016,Manual,35367,Petrol,125.0,54.3,1.2,ford,7298
Z4,2020,Semi-Auto,5,Petrol,150.0,37.2,2.0,bmw,35000
C Class,2019,Semi-Auto,10340,Diesel,145.0,61.4,2.0,mercedes,26780
Q2,2019,Manual,4521,Diesel,145.0,46.3,1.6,audi,22600
GLA Class,2019,Semi-Auto,5026,Diesel,145.0,67.3,2.1,mercedes,22599
Amarok,2018,Automatic,5673,Diesel,260.0,33.6,3.0,vw,32000
Focus,2017,Manual,12260,Petrol,,,1.0,ford,11795
Tucson,2016,Automatic,22764,Diesel,240.0,43.5,2.0,hyundai,16980
TT,2017,Semi-Auto,8997,Petrol,150.0,43.5,2.0,audi,22400
Fiesta,2018,Manual,11550,Petrol,150.0,65.7,1.0,ford,11200
I30,2016,Manual,5156,Petrol,145.0,48.7,1.4,hyundai,9298
Insignia,2015,Manual,56054,Diesel,30.0,65.7,2.0,vauxhall,6499
3 Series,2016,Automatic,36157,Hybrid,0.0,134.5,2.0,bmw,17532
C Class,2017,Semi-Auto,23366,Diesel,145.0,65.7,2.1,mercedes,22597
I10,2019,Manual,8483,Petrol,145.0,60.1,1.0,hyundai,8649
C-MAX,2017,Manual,19211,Petrol,30.0,55.4,1.0,ford,12570
C Class,2015,Semi-Auto,21539,Diesel,20.0,64.2,2.1,mercedes,16199
Insignia,2017,Manual,26648,Diesel,30.0,65.7,1.6,vauxhall,10500
Fiesta,2013,Manual,45024,Petrol,0.0,65.7,1.0,ford,7000
Golf,2017,Manual,20701,Diesel,0.0,74.3,1.6,vw,13241
Yaris,2017,Automatic,26758,Hybrid,140.0,76.3,1.5,toyota,12570
Aygo,2016,Manual,20754,Petrol,0.0,69.0,1.0,toyota,6230
6 Series,2013,Automatic,57000,Diesel,165.0,49.6,3.0,bmw,16600
6 Series,2018,Automatic,14827,Petrol,145.0,42.8,2.0,bmw,27000
Fiesta,2017,Manual,38081,Petrol,145.0,65.7,1.0,ford,9990
Corsa,2017,Manual,37069,Petrol,30.0,55.4,1.4,vauxhall,6257
Edge,2018,Semi-Auto,27215,Diesel,150.0,47.9,2.0,ford,24999
Crossland X,2019,Manual,3251,Diesel,145.0,60.1,1.5,vauxhall,15299
4 Series,2019,Automatic,110,Diesel,145.0,65.7,2.0,bmw,35000
X-CLASS,2019,Automatic,10000,Diesel,260.0,35.8,2.3,mercedes,30000
Viva,2019,Manual,10,Petrol,150.0,46.3,1.0,vauxhall,7490
Fiesta,2015,Manual,28935,Petrol,30.0,54.3,1.2,ford,6700
Golf,2015,Manual,68483,Petrol,200.0,39.8,2.0,vw,16490
Fiesta,2016,Manual,19706,Petrol,125.0,54.3,1.2,ford,8700
Focus,2013,Manual,69498,Diesel,20.0,67.3,1.6,ford,5700
Ka+,2018,Manual,2961,Petrol,145.0,57.7,1.2,ford,7800
Kamiq,2019,Manual,2100,Petrol,145.0,47.9,1.0,skoda,18495
4 Series,2016,Semi-Auto,55297,Diesel,160.0,50.4,3.0,bmw,19444
Aygo,2011,Manual,83684,Petrol,20.0,61.4,1.0,toyota,2991
Focus,2019,Manual,4924,Petrol,145.0,60.1,1.0,ford,16230
A4,2017,Manual,62140,Diesel,145.0,64.2,2.0,audi,15498
Fiesta,2017,Manual,25919,Petrol,0.0,65.7,1.0,ford,8600
Grand C-MAX,2016,Manual,27169,Diesel,30.0,64.2,1.5,ford,9999
Tucson,2016,Manual,31702,Diesel,30.0,61.7,1.7,hyundai,11998
4 Series,2018,Semi-Auto,13673,Petrol,145.0,48.7,2.0,bmw,22440
C Class,2015,Automatic,26400,Petrol,,,2.0,mercedes,15990
Touran,2017,Manual,31000,Diesel,30.0,61.4,1.6,vw,16495
2 Series,2019,Manual,1000,Petrol,145.0,52.3,1.5,bmw,20980
Astra,2018,Manual,27303,Petrol,145.0,51.4,1.4,vauxhall,12500
Golf,2019,Manual,6632,Petrol,145.0,47.9,1.5,vw,21162
A Class,2018,Automatic,19212,Diesel,150.0,74.3,1.5,mercedes,16700
Karoq,2019,Manual,3421,Diesel,150.0,42.8,2.0,skoda,24991
T-Cross,2019,Manual,8750,Petrol,145.0,47.9,1.0,vw,17950
Corsa,2016,Manual,22519,Petrol,30.0,55.4,1.4,vauxhall,6199
EcoSport,2018,Manual,9900,Diesel,145.0,58.9,1.5,ford,14995
Astra,2018,Manual,6214,Petrol,150.0,47.1,0.0,vauxhall,12000
C Class,2019,Semi-Auto,3721,Diesel,,,2.0,mercedes,30799
C Class,2017,Semi-Auto,23771,Diesel,145.0,64.2,2.1,mercedes,18998
Focus,2012,Manual,93591,Diesel,,,2.0,ford,5490
A4,2015,Semi-Auto,43158,Diesel,200.0,47.1,2.0,audi,14999
A Class,2018,Semi-Auto,25677,Petrol,150.0,53.3,1.3,mercedes,19891
Golf,2019,Semi-Auto,2500,Diesel,145.0,52.3,2.0,vw,21790
Fiesta,2014,Manual,46321,Petrol,30.0,54.3,1.2,ford,6221
C Class,2011,Automatic,120899,Petrol,200.0,40.4,1.8,mercedes,6995
Q5,2009,Manual,62000,Diesel,235.0,42.1,2.0,audi,9495
Polo,2019,Manual,6789,Petrol,145.0,48.7,1.0,vw,13495
Q3,2016,Semi-Auto,23205,Diesel,145.0,55.4,2.0,audi,19995
Kuga,2018,Manual,22700,Diesel,150.0,64.2,1.5,ford,16500
A Class,2020,Semi-Auto,16,Diesel,145.0,56.5,2.0,mercedes,23980
EcoSport,2016,Manual,20891,Petrol,125.0,53.3,1.0,ford,9990
GT86,2015,Manual,49000,Petrol,265.0,36.2,2.0,toyota,13495
Touran,2013,Automatic,43728,Diesel,150.0,55.4,1.6,vw,8500
Focus,2018,Manual,10604,Petrol,145.0,60.1,1.0,ford,11677
EcoSport,2017,Manual,21445,Petrol,125.0,52.3,1.0,ford,10290
GLA Class,2018,Semi-Auto,12796,Diesel,145.0,56.5,2.1,mercedes,23512
C Class,2020,Semi-Auto,1000,Petrol,,,3.0,mercedes,48879
I20,2014,Automatic,18000,Petrol,145.0,47.1,1.4,hyundai,6995
Fiesta,2019,Manual,3398,Petrol,145.0,58.9,1.0,ford,14400
T-Roc,2018,Manual,26725,Petrol,145.0,55.4,1.0,vw,16790
Mokka X,2018,Manual,15853,Petrol,145.0,39.2,1.4,vauxhall,13199
Land Cruiser,2014,Manual,53252,Diesel,325.0,34.9,3.0,toyota,23995
GLC Class,2019,Semi-Auto,2000,Diesel,145.0,44.8,2.0,mercedes,32500
Aygo,2015,Manual,19702,Petrol,0.0,69.0,1.0,toyota,5995
Fiesta,2016,Manual,20000,Diesel,0.0,78.5,1.5,ford,8870
Q5,2019,Semi-Auto,7612,Diesel,145.0,38.2,2.0,audi,32732
Q2,2018,Semi-Auto,28721,Petrol,150.0,52.3,1.4,audi,19395
Focus,2017,Manual,5063,Petrol,20.0,61.4,1.0,ford,11295
Focus,2018,Manual,15123,Diesel,,,1.5,ford,12998
Tiguan,2019,Automatic,6310,Diesel,145.0,35.3,2.0,vw,30600
Q7,2019,Automatic,5000,Diesel,145.0,33.2,3.0,audi,66000
Aygo,2018,Manual,4454,Petrol,150.0,56.5,1.0,toyota,8995
Kuga,2018,Automatic,34947,Diesel,145.0,58.9,1.5,ford,12999
Golf,2019,Automatic,2152,Petrol,145.0,36.2,2.0,vw,31990
Polo,2017,Manual,11205,Petrol,20.0,58.9,1.0,vw,9990
Corsa,2015,Manual,28567,Petrol,125.0,52.3,1.2,vauxhall,6149
Insignia,2016,Manual,53626,Diesel,0.0,74.3,1.6,vauxhall,7250
Fiesta,2018,Manual,12000,Petrol,150.0,64.2,1.1,ford,9999
EcoSport,2017,Manual,22414,Petrol,160.0,44.8,1.5,ford,9295
X3,2017,Manual,30483,Diesel,160.0,52.3,2.0,bmw,19500
S-MAX,2019,Manual,4000,Diesel,145.0,56.5,2.0,ford,22489
Astra,2018,Manual,13198,Petrol,145.0,62.8,1.0,vauxhall,10099
Tiguan,2014,Semi-Auto,72765,Diesel,200.0,47.7,2.0,vw,10000
Superb,2019,Manual,2783,Petrol,145.0,40.9,1.5,skoda,21645
Focus,2017,Manual,19686,Petrol,145.0,61.4,1.0,ford,10497
C Class,2018,Automatic,7351,Petrol,,,2.0,mercedes,23480
Astra,2020,Manual,10,Petrol,145.0,54.3,1.2,vauxhall,15998
Fiesta,2018,Manual,21919,Petrol,145.0,65.7,1.0,ford,10450
A3,2016,Manual,43146,Diesel,20.0,65.7,2.0,audi,13995
Auris,2014,Manual,23887,Petrol,125.0,51.4,1.3,toyota,7527
Focus,2017,Manual,35629,Petrol,145.0,60.1,1.0,ford,10800
Octavia,2017,Semi-Auto,9945,Petrol,145.0,58.9,1.0,skoda,13495
Up,2019,Manual,3618,Petrol,145.0,52.3,1.0,vw,10950
Auris,2017,Automatic,43405,Hybrid,0.0,78.5,1.8,toyota,15095
Tiguan,2020,Semi-Auto,2500,Petrol,145.0,31.0,2.0,vw,32790
Octavia,2018,Manual,30945,Petrol,145.0,56.5,1.5,skoda,13495
Fiesta,2016,Manual,10981,Petrol,125.0,54.3,1.2,ford,8295
Octavia,2017,Manual,35183,Petrol,145.0,54.3,1.4,skoda,12495
Tucson,2017,Manual,19937,Diesel,150.0,61.7,1.7,hyundai,13400
A Class,2019,Semi-Auto,2563,Diesel,145.0,56.5,2.0,mercedes,23199
Corsa,2019,Manual,11636,Petrol,145.0,43.5,1.4,vauxhall,10500
A Class,2016,Semi-Auto,51970,Diesel,20.0,68.9,2.1,mercedes,15200
Aygo,2019,Manual,6010,Petrol,150.0,57.7,1.0,toyota,9950
CC,2015,Semi-Auto,21700,Diesel,125.0,56.5,2.0,vw,17495
Golf SV,2019,Manual,2493,Petrol,145.0,45.6,1.5,vw,16998
I10,2018,Manual,12653,Petrol,145.0,57.7,1.2,hyundai,7849
3 Series,2017,Automatic,16678,Diesel,145.0,56.5,3.0,bmw,20998
C Class,2020,Automatic,2000,Diesel,145.0,61.4,2.0,mercedes,33998
Mokka X,2017,Manual,22000,Petrol,145.0,47.1,1.4,vauxhall,10990
I10,2015,Manual,23869,Petrol,20.0,60.1,1.0,hyundai,6250
Tucson,2016,Manual,50193,Diesel,30.0,61.7,1.7,hyundai,12289
GLE Class,2016,Semi-Auto,36500,Diesel,260.0,42.8,3.0,mercedes,28799
E Class,2016,Semi-Auto,33087,Diesel,30.0,65.7,2.0,mercedes,22399
A5,2018,Semi-Auto,34733,Petrol,145.0,50.4,2.0,audi,24475
A6,2019,Semi-Auto,7500,Diesel,145.0,47.9,2.0,audi,29500
A8,2018,Semi-Auto,11000,Diesel,145.0,48.7,3.0,audi,38750
Fiesta,2017,Manual,19147,Petrol,0.0,65.7,1.0,ford,9950
Focus,2017,Manual,54631,Diesel,20.0,67.3,2.0,ford,15087
Polo,2016,Manual,28720,Petrol,20.0,60.1,1.0,vw,8390
C-HR,2019,Automatic,1100,Hybrid,135.0,74.3,1.8,toyota,24495
Q5,2015,Semi-Auto,39378,Diesel,265.0,41.5,3.0,audi,22797
A8,2018,Semi-Auto,5538,Diesel,145.0,50.4,3.0,audi,35866
Focus,2018,Manual,2500,Diesel,,,1.5,ford,14199
Focus,2017,Manual,21378,Petrol,,,1.0,ford,10998
Golf,2019,Manual,15100,Diesel,145.0,57.7,1.6,vw,15489
Fiesta,2016,Manual,32742,Petrol,145.0,47.9,1.6,ford,10499
C Class,2016,Automatic,42062,Petrol,125.0,50.4,2.0,mercedes,15698
Octavia,2019,Manual,6200,Petrol,150.0,58.9,1.0,skoda,14500
Aygo,2014,Manual,13100,Petrol,0.0,69.0,1.0,toyota,6060
Aygo,2017,Manual,24231,Petrol,150.0,68.9,1.0,toyota,7495
Focus,2017,Manual,9148,Petrol,145.0,61.4,1.0,ford,11498
Focus,2013,Manual,69000,Diesel,,,1.6,ford,6190
Fiesta,2016,Manual,30155,Petrol,0.0,65.7,1.0,ford,8291
Golf,2014,Manual,50750,Petrol,150.0,47.1,2.0,vw,13498
Mokka X,2017,Manual,28554,Diesel,145.0,68.9,1.6,vauxhall,12595
3 Series,2017,Semi-Auto,21545,Petrol,150.0,54.3,1.5,bmw,15698
Focus,2018,Manual,5343,Petrol,,,1.0,ford,12400
EcoSport,2017,Manual,30300,Petrol,160.0,44.8,1.5,ford,8490
Ioniq,2017,Automatic,20257,Hybrid,140.0,78.5,1.6,hyundai,16491
C Class,2017,Semi-Auto,29979,Petrol,,,2.0,mercedes,18495
CC,2015,Manual,36602,Diesel,30.0,62.8,2.0,vw,11292
A Class,2019,Semi-Auto,8293,Petrol,145.0,53.3,1.3,mercedes,19990
TT,2016,Manual,37730,Petrol,150.0,47.1,1.8,audi,16970
Auris,2016,Automatic,25143,Hybrid,0.0,78.5,1.8,toyota,13495
C Class,2018,Semi-Auto,8069,Diesel,,,2.1,mercedes,26189
C Class,2006,Automatic,101000,Diesel,265.0,41.5,2.2,mercedes,3690
Q3,2016,Manual,25647,Diesel,30.0,62.8,2.0,audi,15990
Golf,2017,Semi-Auto,43453,Diesel,145.0,57.7,2.0,vw,17795
Yaris,2014,Automatic,29440,Hybrid,0.0,78.0,1.5,toyota,12250
2 Series,2016,Manual,80051,Diesel,0.0,74.3,1.5,bmw,8999
Polo,2016,Manual,19352,Petrol,20.0,60.1,1.2,vw,9298
Tourneo Custom,2017,Manual,33650,Diesel,235.0,44.1,2.0,ford,17995
Zafira,2017,Manual,16043,Petrol,145.0,41.5,1.4,vauxhall,11698
A1,2016,Manual,28369,Petrol,30.0,55.4,1.4,audi,12760
Mokka X,2017,Manual,51943,Diesel,125.0,60.1,1.6,vauxhall,10802
Polo,2018,Manual,27534,Petrol,145.0,64.2,1.0,vw,11950
Polo,2016,Manual,46348,Petrol,20.0,58.9,1.0,vw,8000
A3,2019,Semi-Auto,9476,Petrol,145.0,41.5,1.5,audi,23990
Golf,2017,Manual,22459,Petrol,30.0,53.3,1.4,vw,12999
Fiesta,2014,Manual,40700,Petrol,30.0,54.3,1.2,ford,4200
Kuga,2018,Automatic,14875,Diesel,145.0,42.2,2.0,ford,24250
4 Series,2019,Semi-Auto,3121,Petrol,150.0,45.6,2.0,bmw,29882
Fiesta,2014,Manual,31359,Petrol,0.0,65.7,1.0,ford,7298
Fiesta,2016,Manual,15385,Petrol,125.0,54.3,1.2,ford,7599
I20,2016,Manual,14000,Petrol,20.0,62.8,1.0,hyundai,9000
C Class,2018,Automatic,14632,Diesel,145.0,58.9,1.6,mercedes,17999
E Class,2019,Automatic,3024,Hybrid,135.0,188.3,2.0,mercedes,39890
I10,2017,Manual,13719,Petrol,30.0,57.7,1.2,hyundai,7390
Grandland X,2018,Manual,9494,Diesel,145.0,70.6,1.6,vauxhall,14689
Corsa,2019,Manual,4209,Petrol,150.0,43.5,1.4,vauxhall,10498
EcoSport,2017,Manual,35000,Diesel,30.0,64.2,1.5,ford,9290
2 Series,2019,Manual,123,Petrol,145.0,52.3,1.5,bmw,22646
IX20,2018,Manual,4909,Petrol,150.0,50.4,1.4,hyundai,10250
Golf,2019,Semi-Auto,3764,Petrol,145.0,43.5,1.5,vw,21990
Rapid,2017,Manual,39000,Petrol,30.0,57.7,1.2,skoda,8690
1 Series,2019,Manual,1309,Petrol,145.0,41.5,1.5,bmw,25995
Sharan,2016,Semi-Auto,11110,Diesel,145.0,54.3,2.0,vw,20490
Superb,2016,Manual,94961,Diesel,20.0,68.9,2.0,skoda,9490
A1,2018,Manual,10900,Petrol,145.0,54.3,1.4,audi,17700
A1,2017,Semi-Auto,28112,Petrol,150.0,57.6,1.4,audi,13745
CL Class,2017,Automatic,17050,Diesel,145.0,67.3,2.1,mercedes,20370
Auris,2017,Manual,18000,Petrol,145.0,58.9,1.2,toyota,10795
Corsa,2017,Manual,16747,Petrol,30.0,55.4,1.4,vauxhall,7860
C Class,2019,Semi-Auto,3814,Petrol,,,1.5,mercedes,33998
C Class,2015,Semi-Auto,48000,Diesel,,,2.1,mercedes,15142
GLA Class,2016,Automatic,70480,Diesel,30.0,64.2,2.1,mercedes,14500
A3,2017,Manual,19333,Petrol,20.0,60.1,1.4,audi,16400
Tucson,2019,Semi-Auto,4371,Diesel,145.0,47.1,1.6,hyundai,21452
GLC Class,2016,Semi-Auto,29889,Diesel,145.0,56.5,2.1,mercedes,28490
Viva,2019,Manual,10,Petrol,145.0,46.3,1.0,vauxhall,8995
Mustang,2019,Automatic,12,Petrol,145.0,30.7,2.3,ford,35488
Vivaro,2017,Manual,30156,Diesel,160.0,50.4,1.6,vauxhall,15498
Fiesta,2010,Manual,109000,Diesel,0.0,76.3,1.6,ford,2690
Kuga,2018,Manual,10586,Diesel,145.0,54.3,1.5,ford,15799
Fabia,2015,Manual,50000,Petrol,20.0,60.1,1.2,skoda,6399
Superb,2016,Manual,13000,Diesel,20.0,68.9,2.0,skoda,14595
Focus,2016,Manual,27343,Diesel,,,1.5,ford,9999
Crossland X,2019,Manual,10,Diesel,150.0,62.8,1.5,vauxhall,10998
A3,2017,Manual,48126,Diesel,20.0,70.6,1.6,audi,11995
C Class,2017,Manual,47608,Diesel,,,2.1,mercedes,13900
Polo,2014,Semi-Auto,6000,Petrol,20.0,60.1,1.2,vw,10995
Corsa,2019,Manual,9225,Petrol,145.0,43.5,1.4,vauxhall,10000
Aygo,2017,Manual,15500,Petrol,0.0,68.9,1.0,toyota,8995
A Class,2019,Semi-Auto,4772,Petrol,145.0,28.5,2.0,mercedes,24000
Passat,2016,Manual,54441,Diesel,20.0,68.9,2.0,vw,10899
Astra,2018,Semi-Auto,14900,Petrol,145.0,51.4,1.4,vauxhall,10950
Q3,2016,Manual,58689,Diesel,30.0,60.1,2.0,audi,14406
Fiesta,2014,Manual,37960,Petrol,30.0,54.3,1.2,ford,6200
Octavia,2017,Manual,31083,Diesel,145.0,67.3,1.6,skoda,11995
C Class,2017,Automatic,20876,Diesel,,,2.1,mercedes,17200
Tucson,2017,Other,25915,Petrol,145.0,39.8,1.6,hyundai,16995
C Class,2019,Automatic,3489,Petrol,,,1.6,mercedes,28799
Focus,2017,Manual,31249,Diesel,0.0,74.3,1.5,ford,12000
Astra,2017,Manual,5311,Petrol,125.0,50.4,1.4,vauxhall,11480
Tiguan,2018,Manual,21330,Petrol,145.0,48.7,2.0,vw,17294
Fiesta,2016,Manual,34804,Petrol,125.0,54.3,1.2,ford,6998
Tiguan,2017,Semi-Auto,12000,Diesel,145.0,49.6,2.0,vw,19000
Mokka,2016,Automatic,24381,Petrol,160.0,43.5,1.4,vauxhall,12500
C-MAX,2018,Manual,15803,Diesel,145.0,68.9,1.5,ford,11000
C Class,2019,Semi-Auto,6618,Diesel,145.0,54.3,2.0,mercedes,31499
Golf,2017,Manual,34468,Petrol,150.0,54.3,1.4,vw,11500
Superb,2014,Manual,33000,Diesel,20.0,67.3,1.6,skoda,8990
I10,2018,Semi-Auto,7487,Petrol,145.0,47.9,1.2,hyundai,12562
Fiesta,2019,Manual,4475,Petrol,145.0,64.2,1.1,ford,8856
C Class,2019,Semi-Auto,13741,Diesel,145.0,64.2,2.0,mercedes,28749
Fiesta,2018,Manual,43826,Diesel,145.0,58.9,1.5,ford,9300
Fiesta,2018,Manual,31925,Petrol,145.0,65.7,1.0,ford,9150
Fiesta,2017,Manual,29674,Petrol,0.0,65.7,1.0,ford,8980
Kuga,2016,Manual,6003,Diesel,125.0,60.1,2.0,ford,14795
Polo,2016,Manual,34343,Petrol,20.0,60.1,1.0,vw,7741
Tiguan,2019,Semi-Auto,3300,Diesel,145.0,45.6,2.0,vw,27995
Focus,2019,Manual,4984,Diesel,,,1.5,ford,18580
Focus,2014,Manual,62855,Diesel,,,1.6,ford,5998
X3,2019,Semi-Auto,1299,Diesel,145.0,54.3,2.0,bmw,35600
Edge,2017,Semi-Auto,36763,Diesel,200.0,47.9,2.0,ford,20800
C Class,2019,Semi-Auto,5426,Petrol,145.0,45.6,1.5,mercedes,27699
Ioniq,2018,Automatic,27742,Hybrid,135.0,78.5,1.6,hyundai,16000
Viva,2017,Manual,25291,Petrol,20.0,62.8,1.0,vauxhall,5683
Rapid,2018,Manual,15258,Petrol,145.0,61.4,1.0,skoda,10895
GLC Class,2020,Semi-Auto,4200,Diesel,145.0,40.9,2.0,mercedes,38995
SL CLASS,2017,Semi-Auto,13764,Diesel,145.0,70.6,2.1,mercedes,19621
A3,2017,Manual,12199,Diesel,145.0,67.3,2.0,audi,18990
Kodiaq,2019,Automatic,17531,Diesel,145.0,35.3,2.0,skoda,31750
Mokka,2016,Manual,18221,Petrol,165.0,44.8,1.4,vauxhall,9700
Golf,2016,Manual,20053,Petrol,30.0,53.3,1.4,vw,10195
A Class,2018,Automatic,9122,Diesel,145.0,65.7,1.5,mercedes,19385
C Class,2013,Automatic,82685,Diesel,,,2.1,mercedes,8595
5 Series,2019,Semi-Auto,10373,Diesel,150.0,65.7,2.0,bmw,29999
Zafira,2013,Automatic,44514,Diesel,200.0,48.7,2.0,vauxhall,8499
Polo,2018,Manual,3000,Petrol,150.0,64.2,1.0,vw,12999
T-Roc,2019,Manual,14685,Diesel,150.0,50.4,1.6,vw,21995
IX35,2015,Manual,7000,Petrol,160.0,44.1,1.6,hyundai,9950
Corsa,2017,Automatic,9878,Petrol,145.0,47.1,1.4,vauxhall,11290
Golf,2019,Manual,15295,Diesel,150.0,57.7,1.6,vw,12990
Golf,2015,Manual,53052,Diesel,20.0,67.3,2.0,vw,12999
Corsa,2016,Automatic,38934,Petrol,150.0,47.9,1.4,vauxhall,6999
Edge,2016,Manual,52000,Diesel,200.0,47.9,2.0,ford,17995
Citigo,2013,Manual,32716,Petrol,0.0,68.9,1.0,skoda,5000
C-MAX,2017,Manual,10479,Diesel,20.0,68.9,1.5,ford,11798
Tiguan,2019,Manual,4285,Diesel,145.0,42.8,2.0,vw,30900
Polo,2016,Manual,20490,Petrol,20.0,60.1,1.0,vw,8991
Focus,2018,Manual,11382,Petrol,,,1.0,ford,13500
Kuga,2019,Manual,7580,Diesel,145.0,39.2,2.0,ford,20590
C Class,2019,Semi-Auto,9728,Petrol,,,1.5,mercedes,25349
A Class,2017,Semi-Auto,7145,Diesel,150.0,74.3,1.5,mercedes,17695
Arteon,2019,Automatic,11267,Diesel,145.0,50.4,2.0,vw,26990
Kamiq,2019,Semi-Auto,1250,Petrol,145.0,44.1,1.5,skoda,19495
C Class,2019,Semi-Auto,10061,Petrol,,,1.5,mercedes,25299
Polo,2017,Manual,24181,Petrol,145.0,58.9,1.0,vw,8999
Kuga,2018,Manual,32848,Diesel,150.0,60.1,2.0,ford,14950
Fiesta,2015,Manual,16925,Petrol,0.0,65.7,1.0,ford,8669
Q2,2019,Automatic,4000,Petrol,145.0,42.2,1.5,audi,29444
3 Series,2019,Semi-Auto,4713,Petrol,145.0,34.9,3.0,bmw,37890
Golf,2011,Manual,68000,Petrol,160.0,44.1,1.4,vw,3995
Fiesta,2016,Manual,18543,Petrol,125.0,54.3,1.2,ford,8277
Focus,2018,Manual,14025,Diesel,145.0,74.3,1.5,ford,14000
4 Series,2020,Semi-Auto,100,Petrol,145.0,45.6,2.0,bmw,25995
3 Series,2017,Semi-Auto,28173,Hybrid,0.0,134.5,2.0,bmw,18985
Fiesta,2014,Manual,39223,Petrol,30.0,54.3,1.2,ford,6250
Golf,2016,Semi-Auto,11201,Petrol,30.0,53.3,1.4,vw,14852
Focus,2017,Manual,50526,Diesel,,,1.5,ford,10587
Corsa,2019,Manual,13518,Petrol,145.0,43.5,1.4,vauxhall,8999
I40,2019,Manual,20,Diesel,145.0,52.3,1.6,hyundai,16000
Viva,2019,Manual,5256,Petrol,145.0,46.3,1.0,vauxhall,9495
Q5,2019,Automatic,3000,Diesel,145.0,38.2,2.0,audi,36000
Fiesta,2019,Manual,5268,Petrol,145.0,60.1,1.0,ford,14500
E Class,2016,Semi-Auto,20582,Diesel,125.0,58.9,2.1,mercedes,18295
I10,2016,Manual,6000,Petrol,20.0,57.6,1.2,hyundai,7500
C Class,2017,Semi-Auto,52519,Diesel,,,1.6,mercedes,16590
C Class,2016,Automatic,42271,Diesel,,,2.1,mercedes,17999
A1,2015,Manual,23758,Diesel,0.0,80.7,1.6,audi,9999
C Class,2017,Semi-Auto,10745,Diesel,30.0,64.2,2.1,mercedes,20349
Superb,2016,Semi-Auto,30550,Diesel,30.0,61.4,2.0,skoda,16790
Beetle,2013,Manual,52750,Diesel,125.0,57.6,2.0,vw,7691
Fiesta,2019,Manual,10956,Petrol,145.0,58.9,1.0,ford,15995
I20,2016,Manual,34599,Petrol,30.0,55.4,1.2,hyundai,6980
EcoSport,2019,Manual,769,Petrol,150.0,53.3,1.0,ford,16000
Vectra,2008,Automatic,131000,Diesel,200.0,39.8,1.9,vauxhall,1695
Q2,2017,Manual,4653,Petrol,145.0,50.4,1.4,audi,20490
Q7,2017,Semi-Auto,30985,Diesel,160.0,48.7,3.0,audi,29950
C Class,2015,Automatic,44086,Diesel,,,2.1,mercedes,16395
B Class,2020,Automatic,20,Diesel,145.0,55.4,2.0,mercedes,33298
E Class,2019,Semi-Auto,14186,Diesel,145.0,72.4,2.0,mercedes,24749
Kodiaq,2017,Manual,13018,Petrol,145.0,46.3,1.4,skoda,15799
Polo,2017,Manual,9801,Petrol,20.0,58.9,1.0,vw,9980
Focus,2019,Manual,6447,Diesel,,,1.5,ford,17145
